Time(min),Input11,Input01,Input10,Input00,Input11std,Input01std,Input10std,Input00std
410,10830.31915,8445.121951,4891.575663,112.2359155,342.2545781,407.0074498,188.5324336,2.593098871
420,11160.7615,8687.341129,5050.749712,112.4889283,449.1011092,422.0913867,211.1795919,2.242607763
430,11336.46322,8928.680591,5195.528609,120.3744984,443.3031324,433.5216962,212.4531102,9.909260304
440,11685.77384,9155.295316,5373.128743,132.1684588,462.5899409,423.5517194,226.2384398,10.38381982
450,12061.81247,9355.397149,5563.542053,128.4941389,440.4033085,453.8626019,241.8501594,3.613417358
460,12404.00844,9593.177189,5720.233747,138.7755102,536.3595021,483.9489458,261.6549346,4.576633204
470,12689.65517,9743.367347,5897.694524,147.2868217,531.6811591,469.7889734,291.5520223,12.75460676
480,13051.70576,9961.085509,6064.893617,155.7489693,576.070613,461.4177023,312.8978571,5.41766062
490,13347.45308,10060.90072,6226.717824,168.1252879,609.1396011,517.8720706,289.706259,13.34530905
500,13605.61858,10210.31138,6423.169474,168.8251619,602.3047275,504.1591047,303.1522541,8.312902198
510,13872.36344,10334.1876,6604.477612,177.1269177,627.4177502,458.318301,362.6102139,19.00554748
520,14174.29194,10484.8329,6798.527443,183.7307153,674.8720064,419.142979,349.5211581,8.437019299
530,14552.50137,10585.10088,6968.092105,181.5196998,674.947683,444.1304452,371.4695587,15.20495962
540,14856.58699,10718.57217,7146.261835,204.8022599,825.0601171,443.8844995,345.0931117,20.48043088
550,15120.04467,10737.95961,7333.226014,202.4597919,863.5288094,423.6235124,334.0241824,12.71823405
560,15292.50559,10800.5168,7548.695099,216.9990503,865.9828119,382.1676482,335.2361164,8.074682831
570,15398.66741,10789.17526,7762.743864,217.2463078,907.7220506,430.7655681,313.3478901,12.7350547
580,15613.67426,10792.30769,7932.752179,229.775012,939.9003706,387.6843001,233.4639571,8.90839756
590,15686.94196,10748.58902,8173.362176,234.2774844,958.5722222,374.5468484,147.5493189,20.05077104
600,15922.7756,10701.32518,8392.036753,238.8059701,955.7489105,407.8460095,169.5596118,10.81009254
610,15958.21727,10658.17626,8572.080292,247.826087,1039.206146,345.0415489,135.9850907,9.389427744
620,16128.49162,10584.8961,8772.453285,244.0562834,1126.576846,316.9653246,90.57683098,15.66884799
630,16229.95546,10539.73843,8990.450612,250.4863813,1140.256482,324.4848105,67.31071782,12.82140358
640,16457.82464,10410.26919,9126.819127,273.0375427,1093.095656,350.5602493,76.3360206,14.06727948
650,16557.34072,10381.85444,9366.49061,279.0014684,1146.530962,350.0349473,72.42687419,15.90065488
660,16678.67036,10238.00196,9502.912056,279.1952895,1131.808441,292.7376799,122.8128728,10.42889544
670,16973.19933,10173.48928,9683.555298,289.0201871,1105.063099,302.8866748,227.9427467,11.86682339
680,17103.04709,10067.30769,9858.498706,293.768546,1059.882333,314.3574402,249.0854716,9.701500643
690,17363.99327,10010.96805,10083.59486,305.7482656,1009.345257,336.4630744,329.3869871,21.72734002
700,17692.66055,10006.19048,10257.15095,312.4689518,968.8988213,286.1286085,326.7690035,11.02283378
710,18000.58207,9907.888521,10473.89218,310.7906514,1027.062698,313.8368764,385.1768354,16.29333965
720,18208.57814,9893.626992,10641.30741,324.5395719,1144.959827,287.9814687,402.4313924,10.81067953
