Time(min),25nM,12.5nM,6.25nM,3.125nM,1.56nM,0nM,25nMstd,12.5nMstd,6.25nMstd,3.125nMstd,1.56nMstd,0nMstd
150.0,0.27566666666666667,0.278,0.30933333333333335,0.31833333333333336,0.31933333333333336,0.3216666666666667,0.007767453465154028,0.00793725393319378,0.009609023536933013,0.007505553499465114,0.0045092497528228795,0.0037859388972002164
160.0,0.294,0.30033333333333334,0.337,0.34600000000000003,0.3476666666666666,0.34933333333333333,0.008999999999999952,0.009291573243177547,0.011135528725660053,0.008000000000000007,0.004509249752822859,0.005507570547286114
170.0,0.311,0.3213333333333334,0.365,0.37333333333333335,0.37333333333333335,0.37533333333333335,0.008544003745317538,0.010263202878893797,0.013747727084867494,0.010692676621563642,0.005033222956847178,0.0045092497528229055
180.0,0.326,0.3443333333333333,0.39000000000000007,0.401,0.4013333333333333,0.4046666666666667,0.009539392014169428,0.010016652800877782,0.014525839046333956,0.008185352771872458,0.004041451884327397,0.0055075705472861
190.0,0.342,0.369,0.4183333333333334,0.42933333333333334,0.43100000000000005,0.433,0.009000000000000001,0.011532562594670767,0.015011106998930284,0.009073771725877457,0.004582575694955811,0.0040000000000000036
200.0,0.35766666666666674,0.39599999999999996,0.44766666666666666,0.45733333333333337,0.459,0.4606666666666667,0.008736894948054104,0.013076696830621978,0.0156311654502578,0.009712534856222324,0.004582575694955844,0.005033222956847151
210.0,0.3763333333333334,0.422,0.4766666666666666,0.48700000000000004,0.48866666666666675,0.49000000000000005,0.00960902353693308,0.01442220510185597,0.015631165450257778,0.009539392014169465,0.004932882862316243,0.004582575694955844
220.0,0.39466666666666667,0.447,0.505,0.513,0.5146666666666667,0.5146666666666667,0.011060440015358032,0.013228756555322966,0.01708800749063497,0.011135528725660105,0.0061101009266078645,0.0035118845842842176
230.0,0.41700000000000004,0.4756666666666667,0.5316666666666666,0.5396666666666666,0.5406666666666666,0.5413333333333333,0.012000000000000031,0.014571661996262935,0.019035055380359052,0.01357694123627756,0.008082903768654783,0.00550757054728608
240.0,0.43766666666666665,0.5013333333333333,0.5566666666666666,0.5636666666666666,0.5646666666666667,0.564,0.010503967504392489,0.0153079500042734,0.019035055380359038,0.01301281419729538,0.006806859285554089,0.0040000000000000036
250.0,0.45966666666666667,0.527,0.5796666666666667,0.5869999999999999,0.5873333333333333,0.5863333333333333,0.01205542754668342,0.016093476939431115,0.019604421270043516,0.013527749258468665,0.007637626158259701,0.004725815626252597
260.0,0.48233333333333334,0.5519999999999999,0.6016666666666666,0.6093333333333333,0.6093333333333333,0.6083333333333333,0.013576941236277553,0.017349351572897465,0.02003330560175555,0.014047538337136912,0.009018499505645854,0.005507570547286077
270.0,0.502,0.574,0.622,0.6299999999999999,0.6296666666666666,0.6286666666666666,0.013114877048603975,0.01587450786638756,0.020663978319771917,0.01352774925846874,0.008082903768654719,0.005131601439446859
280.0,0.5266666666666667,0.5966666666666667,0.6446666666666666,0.6523333333333333,0.6526666666666666,0.6513333333333332,0.014047538337137077,0.016653327995729092,0.020599352740640453,0.014047538337137032,0.008504900548115334,0.004041451884327439
290.0,0.5496666666666666,0.6166666666666666,0.6649999999999999,0.6726666666666666,0.6733333333333333,0.6719999999999998,0.0136503968196288,0.01569500982265803,0.020663978319771768,0.014011899704655812,0.008020806277010718,0.004582575694955838
300.0,0.5716666666666667,0.6346666666666666,0.6849999999999999,0.6920000000000001,0.693,0.6923333333333334,0.013316656236958813,0.015307950004273424,0.020663978319771768,0.014525839046334001,0.00818535277187248,0.005507570547286093
310.0,0.5950000000000001,0.656,0.7073333333333333,0.714,0.7156666666666666,0.7143333333333333,0.013747727084867555,0.016522711641858305,0.02212088003071602,0.015000000000000027,0.00873689494805405,0.006658328118479353
