Time(min),0um,1.56um,3.1um,6.125um,12.5um,25um,50um,100um,500um,0umstd,1.56umstd,3.1umstd,6.125umstd,12.5umstd,25umstd,50umstd,100umstd,500umstd
100.0833333,1.0630381630700543e-08,5.905767572611412e-09,5.3151908153502714e-09,6.496344329872553e-09,8.858651358917118e-09,1.9489032989617663e-08,7.382209465764265e-08,3.1064337431936037e-07,7.441267141490379e-07,4.6875576894238176e-09,2.706362693830741e-09,3.5434605435668475e-09,3.688150666996444e-09,3.0687268480367053e-09,3.0687268480367053e-09,3.6881506669964417e-09,1.809710670073653e-08,1.3376270215922099e-08
110.0666667,8.858651358917118e-09,5.3151908153502714e-09,5.905767572611412e-09,6.496344329872553e-09,1.0039804873439404e-08,2.2441916775923363e-08,9.153939737547688e-08,3.9863931115127036e-07,8.935426337361065e-07,4.6875576894238176e-09,3.0687268480367053e-09,2.0458178986911373e-09,4.458756738640699e-09,2.70636269383074e-09,2.706362693830741e-09,4.458756738640701e-09,2.1481087936256933e-08,1.6839206535775076e-08
120.0666667,8.858651358917118e-09,4.7246140580891294e-09,4.7246140580891294e-09,5.3151908153502714e-09,1.1220958387961682e-08,2.4804223804967934e-08,1.116190071223557e-07,4.949033225848363e-07,1.0488643208957869e-06,3.5434605435668475e-09,2.0458178986911373e-09,2.0458178986911373e-09,1.7717302717834237e-09,1.0229089493455684e-09,1.7717302717834237e-09,4.6875576894238176e-09,2.418482126719259e-08,2.0432590260215433e-08
130.0833333,1.0039804873439404e-08,6.496344329872553e-09,5.905767572611412e-09,7.086921087133695e-09,1.1811535145222827e-08,2.834768434853478e-08,1.346515006555402e-07,6.035694459208864e-07,1.2095011988708171e-06,2.70636269383074e-09,2.0458178986911373e-09,2.0458178986911373e-09,1.7717302717834237e-09,2.70636269383074e-09,1.7717302717834237e-09,6.388064341206883e-09,2.9717221514496602e-08,1.8778112157122524e-08
140.06666669999998,8.858651358917118e-09,5.905767572611412e-09,5.3151908153502714e-09,5.905767572611412e-09,1.1811535145222827e-08,3.130056813484049e-08,1.6063687797503047e-07,7.19913067101331e-07,1.3742721141466754e-06,5.3151908153502714e-09,2.706362693830741e-09,1.7717302717834237e-09,2.706362693830741e-09,2.0458178986911373e-09,4.458756738640699e-09,8.372870603898883e-09,3.658240474811565e-08,1.7746806989259432e-08
150.08333330000005,1.1220958387961682e-08,8.268074601655978e-09,8.268074601655978e-09,9.449228116178259e-09,1.5354995688789672e-08,3.661575895019076e-08,1.948903298961766e-07,8.527928374850878e-07,1.5538074483540627e-06,5.412725387661481e-09,2.70636269383074e-09,2.70636269383074e-09,2.70636269383074e-09,2.706362693830741e-09,2.70636269383074e-09,1.077701451099929e-08,4.290124522793665e-08,1.534363424018353e-08
160.08333330000005,1.1220958387961682e-08,5.905767572611412e-09,7.086921087133695e-09,8.858651358917118e-09,1.4764418931528532e-08,3.8978065979235326e-08,2.320966656036285e-07,9.974841430140677e-07,1.7427920106776277e-06,2.70636269383074e-09,2.706362693830741e-09,3.0687268480367053e-09,3.5434605435668475e-09,1.0229089493455686e-09,1.7717302717834237e-09,1.3837655780990492e-08,4.822882813796889e-08,1.506838975960343e-08
170.06666669999996,1.1811535145222827e-08,6.496344329872553e-09,7.086921087133695e-09,1.0039804873439404e-08,1.6536149203311956e-08,4.3702680037324455e-08,2.775710759127364e-07,1.157530444231837e-06,1.9400446476028494e-06,4.458756738640699e-09,2.706362693830741e-09,1.7717302717834237e-09,1.0229089493455684e-09,2.0458178986911373e-09,2.70636269383074e-09,1.894453885681518e-08,5.040357250121512e-08,2.1554029021998582e-08
180.08333330000005,1.0630381630700543e-08,7.086921087133695e-09,7.086921087133695e-09,9.449228116178259e-09,1.7126725960573095e-08,4.842729409541358e-08,3.313135608235002e-07,1.3317505876238731e-06,2.145565359129726e-06,4.6875576894238176e-09,1.7717302717834237e-09,3.0687268480367053e-09,2.0458178986911373e-09,4.091635797382275e-09,4.458756738640699e-09,2.461366356516389e-08,5.286569210288937e-08,2.499333117123044e-08
190.0833333,1.1811535145222827e-08,8.268074601655978e-09,8.268074601655978e-09,1.0630381630700543e-08,1.9489032989617663e-08,5.6104791939808434e-08,3.9627700412222567e-07,1.5242786104910058e-06,2.3693939501316984e-06,4.091635797382274e-09,2.70636269383074e-09,2.70636269383074e-09,1.7717302717834237e-09,1.7717302717834237e-09,3.6881506669964446e-09,2.966435953102148e-08,5.79638376023291e-08,3.297195906643478e-08
