Time(min),0um,1.56um,3.1um,6.125um,12.5um,25um,50um,100um,500um,0umstd,1.56umstd,3.1umstd,6.125umstd,12.5umstd,25umstd,50umstd,100umstd,500umstd
350.0833333,0.717,0.722,0.718666667,0.72,0.731,0.734333333,0.795333333,0.829666667,0.806666667,0.011532563,0.008660254,0.007637626,0.004582576,0.00781025,0.013503086,0.012055428,0.008144528,0.008144528
360.0833333,0.737,0.743,0.739333333,0.74,0.751333333,0.755666667,0.823666667,0.856666667,0.833333333,0.011532563,0.008717798,0.007767453,0.005567764,0.008962886,0.014502873,0.012503333,0.011015141,0.006658328
370.0666667,0.756333333,0.762666667,0.759333333,0.759,0.771,0.776333333,0.851333333,0.884,0.858333333,0.010785793,0.008504901,0.007767453,0.007211103,0.010392305,0.015567059,0.013576941,0.012529964,0.009451631
380.0833333,0.776,0.783,0.778666667,0.779,0.790666667,0.797,0.878,0.911666667,0.883666667,0.011357817,0.008717798,0.007371115,0.007211103,0.010115994,0.015524175,0.013527749,0.012583057,0.010263203
390.0666667,0.795333333,0.803333333,0.798666667,0.799,0.810333333,0.818333333,0.906,0.938666667,0.91,0.011718931,0.009073772,0.007637626,0.007211103,0.009814955,0.016010413,0.014525839,0.012013881,0.009848858
400.0666667,0.811333333,0.820333333,0.816,0.816666667,0.827333333,0.837,0.930333333,0.964,0.934333333,0.009865766,0.009291573,0.007937254,0.008736895,0.011547005,0.017088007,0.016563011,0.014,0.010692677
410.0833333,0.831333333,0.842,0.836333333,0.836666667,0.848,0.859,0.958333333,0.991666667,0.961,0.009865766,0.008185353,0.008504901,0.009451631,0.013,0.018083141,0.018556221,0.015044379,0.012124356
420.0833333,0.846333333,0.857666667,0.852,0.852,0.863,0.876333333,0.980666667,1.013666667,0.982,0.010692677,0.008736895,0.008717798,0.009643651,0.013,0.017559423,0.018036999,0.015044379,0.012124356
430.0666667,0.865666667,0.878333333,0.872333333,0.872666667,0.883,0.898666667,1.008,1.040666667,1.008,0.010115994,0.008504901,0.010115994,0.012096832,0.013856406,0.019218047,0.019672316,0.01761628,0.013527749
440.0833333,0.882333333,0.895666667,0.889666667,0.890333333,0.901333333,0.918,1.032,1.065666667,1.030666667,0.009865766,0.0090185,0.010016653,0.01266228,0.013316656,0.018681542,0.019,0.018610033,0.013576941
450.0833333,0.899,0.914666667,0.908,0.908666667,0.919666667,0.939,1.052333333,1.089,1.054,0.009539392,0.0090185,0.010583005,0.012858201,0.014433757,0.020297783,0.017156146,0.017776389,0.014525839
460.0666667,0.912,0.926666667,0.92,0.921333333,0.931,0.952666667,1.068,1.101666667,1.071333333,0.010392305,0.009504385,0.011357817,0.01266228,0.013856406,0.019218047,0.019313208,0.013650397,0.014502873
470.0833333,0.931666667,0.947666667,0.939333333,0.941333333,0.951,0.974666667,1.094,1.122333333,1.095,0.010214369,0.0090185,0.01040833,0.014224392,0.017320508,0.021197484,0.022271057,0.019139836,0.016522712
480.0666667,0.946,0.962666667,0.955333333,0.957333333,0.966333333,0.992333333,1.117333333,1.144,1.110333333,0.008717798,0.008326664,0.010692677,0.013428825,0.017672955,0.020744477,0.024337899,0.021656408,0.013012814
