Time(min),25nM,12.5nM,6.25nM,3.125nM,1.56nM,0nM,25nMstd,12.5nMstd,6.25nMstd,3.125nMstd,1.56nMstd,0nMstd
270.0,1.2387526961446908e-05,5.526772529587957e-06,1.2604088090691627e-06,1.566365334618174e-07,1.2386697477951462e-07,1.268623186290213e-07,3.111158704410883e-07,1.4837309546898343e-07,6.32578292716986e-08,6.35825430966022e-09,7.21603068403497e-09,8.42580184705452e-09
280.0,1.1927758256260523e-05,5.341682236329485e-06,1.2324278292866117e-06,1.657824477093863e-07,1.3488834768038387e-07,1.387569637313679e-07,3.142779078173616e-07,1.4798481343242072e-07,5.608343200053438e-08,7.94900704696801e-09,7.394415237719293e-09,7.963349003298079e-09
290.0,1.153970882689168e-05,5.200611553026048e-06,1.215210429861948e-06,1.818450798101935e-07,1.4918396139795888e-07,1.5295723384395267e-07,2.833629011136438e-07,1.3354289608957309e-07,5.787825569627724e-08,8.069568267552284e-09,9.833124985664333e-09,1.0416474485950433e-08
300.0,1.1185144807476459e-05,5.068662144224738e-06,1.1951504463652229e-06,1.9298750292243603e-07,1.6453512863092985e-07,1.6723219097632993e-07,2.669190458950369e-07,1.2073582684438711e-07,5.2983626846841405e-08,7.976060335895626e-09,7.8258660780392e-09,9.296915055316635e-09
310.0,1.0811175348237682e-05,4.926468868321485e-06,1.1767729853879615e-06,2.0772544712557602e-07,1.7829736969374596e-07,1.8110539971797792e-07,2.67895662393226e-07,1.1941283851715632e-07,5.690966706929484e-08,8.924455812733548e-09,6.444541681480027e-09,8.13060659641892e-09
320.0,1.0522757278949177e-05,4.808822114386206e-06,1.1617054353641513e-06,2.1897861820887389e-07,1.8950509215807278e-07,1.9153153594586116e-07,2.5980172032487465e-07,1.2178783131017253e-07,5.636819401909087e-08,9.441121409141766e-09,7.0456892116408375e-09,7.471235422927873e-09
330.0,1.025847086022092e-05,4.688579456548682e-06,1.1470430993794781e-06,2.3165420650758722e-07,2.038576829440234e-07,2.0379397184050328e-07,2.606236458745723e-07,1.31021389228272e-07,5.6336695086792054e-08,9.1304675843977e-09,8.341429001777781e-09,9.107870646539366e-09
340.0,9.97877770101028e-06,4.5643532709587566e-06,1.1329035660269962e-06,2.4128334282623935e-07,2.1335327471389396e-07,2.135193205031541e-07,2.387915447885884e-07,1.193447473006516e-07,5.4700816351399694e-08,1.0373909896602523e-08,6.948313880619849e-09,9.898215939510985e-09
350.0,9.761707705953172e-06,4.467954362639426e-06,1.1203738678853915e-06,2.537802327459708e-07,2.2570280259482686e-07,2.250719039810346e-07,2.3471111296169572e-07,1.2497703767023102e-07,5.591581157349304e-08,1.0124797182393326e-08,7.834341084431919e-09,7.940208559377735e-09
360.0,9.579118712798966e-06,4.384266970228861e-06,1.1119824041938738e-06,2.636082092170828e-07,2.354198990809711e-07,2.36005562844835e-07,2.3628862565438e-07,1.2563672759583825e-07,5.472078686737262e-08,7.788696087439289e-09,8.381747425415039e-09,9.610295260385888e-09
370.0,9.337143656218923e-06,4.262189766952051e-06,1.0934198950023616e-06,2.698355822587006e-07,2.433794679895083e-07,2.43807372789647e-07,2.4859241083028206e-07,1.3658181247246244e-07,5.6663452190904796e-08,9.762989942945281e-09,7.890516965992258e-09,1.1688003384599847e-08
