Time,0.13,0.06,0.03,0.02,0.01,0.004,0.002,0.001,0,0.13std,0.06std,0.03std,0.02std,0.01std,0.004std,0.002std,0.001std,0std
330.0666667,6.23E-06,5.91E-06,5.38E-06,4.23E-06,2.92E-06,1.97E-06,9.77E-07,4.63E-07,4.31E-08,3.42E-07,1.57E-07,2.53E-07,1.44E-07,1.50E-07,1.61E-07,5.91E-08,2.79E-08,3.54E-09
340.0833333,6.30E-06,5.98E-06,5.43E-06,4.23E-06,2.91E-06,1.98E-06,9.91E-07,4.73E-07,4.40E-08,3.58E-07,1.61E-07,2.59E-07,1.59E-07,1.57E-07,1.73E-07,6.14E-08,2.93E-08,3.88E-09
350.0833333,6.37E-06,6.03E-06,5.46E-06,4.23E-06,2.91E-06,1.99E-06,1.01E-06,4.83E-07,4.50E-08,3.65E-07,1.73E-07,2.91E-07,1.52E-07,1.68E-07,1.68E-07,6.38E-08,2.99E-08,3.89E-09
360.0833333,6.44E-06,6.02E-06,5.53E-06,4.26E-06,2.90E-06,2.00E-06,1.02E-06,4.92E-07,4.68E-08,3.65E-07,1.90E-07,2.53E-07,1.33E-07,1.69E-07,1.72E-07,6.17E-08,3.24E-08,4.19E-09
370.0666667,6.49E-06,6.07E-06,5.55E-06,4.24E-06,2.90E-06,2.02E-06,1.04E-06,5.01E-07,4.79E-08,3.75E-07,2.17E-07,2.31E-07,1.34E-07,1.76E-07,1.83E-07,6.25E-08,3.49E-08,3.96E-09
380.0833333,6.55E-06,6.15E-06,5.58E-06,4.24E-06,2.90E-06,2.03E-06,1.05E-06,5.08E-07,4.88E-08,3.63E-07,1.78E-07,2.60E-07,1.52E-07,1.72E-07,1.83E-07,6.59E-08,3.63E-08,4.32E-09
390.0666667,6.65E-06,6.24E-06,5.61E-06,4.24E-06,2.91E-06,2.05E-06,1.07E-06,5.17E-07,5.04E-08,3.15E-07,1.44E-07,2.45E-07,1.59E-07,1.67E-07,1.86E-07,6.56E-08,3.63E-08,4.46E-09
400.0666667,6.69E-06,6.25E-06,5.64E-06,4.23E-06,2.91E-06,2.07E-06,1.08E-06,5.24E-07,5.19E-08,3.42E-07,1.50E-07,2.54E-07,1.38E-07,1.82E-07,1.93E-07,6.61E-08,4.06E-08,4.65E-09
410.0833333,6.75E-06,6.34E-06,5.66E-06,4.22E-06,2.92E-06,2.09E-06,1.09E-06,5.37E-07,5.35E-08,3.36E-07,1.16E-07,2.77E-07,1.46E-07,1.80E-07,1.89E-07,6.71E-08,4.48E-08,4.73E-09
420.0833333,6.81E-06,6.39E-06,5.66E-06,4.21E-06,2.92E-06,2.11E-06,1.10E-06,5.50E-07,5.47E-08,3.43E-07,1.19E-07,2.76E-07,1.48E-07,1.82E-07,1.95E-07,6.66E-08,4.61E-08,5.83E-09
430.0666667,6.82E-06,6.37E-06,5.66E-06,4.19E-06,2.91E-06,2.11E-06,1.11E-06,5.57E-07,5.57E-08,3.51E-07,1.59E-07,3.02E-07,1.41E-07,1.88E-07,1.87E-07,7.58E-08,4.83E-08,6.13E-09
440.0833333,6.88E-06,6.45E-06,5.71E-06,4.17E-06,2.92E-06,2.16E-06,1.14E-06,5.69E-07,5.76E-08,3.65E-07,1.32E-07,2.95E-07,1.70E-07,1.98E-07,2.06E-07,7.47E-08,4.96E-08,5.74E-09
450.0833333,6.93E-06,6.49E-06,5.73E-06,4.15E-06,2.94E-06,2.19E-06,1.15E-06,5.78E-07,5.89E-08,3.51E-07,1.25E-07,2.90E-07,1.74E-07,1.81E-07,2.01E-07,7.55E-08,5.06E-08,6.95E-09
460.0666667,6.98E-06,6.51E-06,5.74E-06,4.16E-06,2.96E-06,2.21E-06,1.16E-06,5.88E-07,6.08E-08,3.65E-07,1.38E-07,2.83E-07,1.61E-07,1.85E-07,2.03E-07,7.82E-08,5.41E-08,6.94E-09
470.0833333,7.03E-06,6.55E-06,5.73E-06,4.15E-06,2.96E-06,2.24E-06,1.18E-06,5.99E-07,6.22E-08,3.71E-07,1.50E-07,2.76E-07,1.67E-07,1.87E-07,2.08E-07,7.89E-08,5.79E-08,7.11E-09
480.0666667,7.06E-06,6.58E-06,5.77E-06,4.15E-06,2.98E-06,2.27E-06,1.19E-06,6.12E-07,6.34E-08,3.64E-07,1.41E-07,2.78E-07,1.65E-07,1.84E-07,2.12E-07,8.27E-08,6.04E-08,7.74E-09
