,row,model_num,ic value,Evidence,d(ic value)
458,152,3,1045.406408387499,No support,682.6907465683605
476,158,3,1045.406408387499,No support,682.6907465683605
461,153,3,1045.406408387499,No support,682.6907465683605
470,156,3,1045.406408387499,No support,682.6907465683605
473,157,3,1045.406408387499,No support,682.6907465683605
464,154,3,1045.406408387499,No support,682.6907465683605
598,199,2,1050.039228337734,No support,687.3235665185955
927,309,1,1051.205207836334,No support,688.4895460171956
455,151,3,1051.3276709284933,No support,688.6120091093549
924,308,1,1051.4187902355347,No support,688.7031284163963
921,307,1,1051.4187902355347,No support,688.7031284163963
918,306,1,1051.4187902355347,No support,688.7031284163963
912,304,1,1051.453272227726,No support,688.7376104085877
915,305,1,1051.453272227726,No support,688.7376104085877
595,198,2,1058.7467020098359,No support,696.0310401906975
592,197,2,1058.7467020098359,No support,696.0310401906975
586,195,2,1058.7467020098359,No support,696.0310401906975
583,194,2,1058.7467020098359,No support,696.0310401906975
589,196,2,1058.7467020098359,No support,696.0310401906975
580,193,2,1063.1784741767271,No support,700.4628123575887
897,299,1,1064.0283133721227,No support,701.3126515529843
900,300,1,1064.0283133721227,No support,701.3126515529843
903,301,1,1064.0283133721227,No support,701.3126515529843
906,302,1,1064.0283133721227,No support,701.3126515529843
909,303,1,1064.0283133721227,No support,701.3126515529843
894,298,1,1064.2589990969734,No support,701.543337277835
891,297,1,1065.3175386109342,No support,702.6018767917958
888,296,1,1065.3175386109342,No support,702.6018767917958
577,192,2,1067.2910780278303,No support,704.5754162086919
574,191,2,1067.54716729284,No support,704.8315054737016
885,295,1,1068.2174009459939,No support,705.5017391268555
571,190,2,1068.6527511916793,No support,705.9370893725409
568,189,2,1068.6527511916793,No support,705.9370893725409
562,187,2,1068.6527511916793,No support,705.9370893725409
565,188,2,1068.6527511916793,No support,705.9370893725409
532,177,2,1068.9140003398982,No support,706.1983385207598
550,183,2,1068.9158210463465,No support,706.2001592272081
544,181,2,1068.9158210463465,No support,706.2001592272081
559,186,2,1068.9158210463465,No support,706.2001592272081
541,180,2,1068.9158210463465,No support,706.2001592272081
538,179,2,1068.9158210463465,No support,706.2001592272081
556,185,2,1068.9158210463465,No support,706.2001592272081
535,178,2,1068.9158210463465,No support,706.2001592272081
547,182,2,1068.9158210463465,No support,706.2001592272081
553,184,2,1068.9158210463465,No support,706.2001592272081
452,150,3,1069.348677789229,No support,706.6330159700906
882,294,1,1071.977941492,No support,709.2622796728615
526,175,2,1072.5720017990216,No support,709.8563399798832
523,174,2,1072.5720017990216,No support,709.8563399798832
520,173,2,1072.5720017990216,No support,709.8563399798832
517,172,2,1072.5720017990216,No support,709.8563399798832
529,176,2,1072.5720017990216,No support,709.8563399798832
437,145,3,1072.9667814630475,No support,710.2511196439091
443,147,3,1072.9667814630475,No support,710.2511196439091
434,144,3,1072.9667814630475,No support,710.2511196439091
440,146,3,1072.9667814630475,No support,710.2511196439091
449,149,3,1072.9667814630475,No support,710.2511196439091
446,148,3,1072.9667814630475,No support,710.2511196439091
873,291,1,1072.9674105001059,No support,710.2517486809675
870,290,1,1072.9674105001059,No support,710.2517486809675
867,289,1,1072.9674105001059,No support,710.2517486809675
879,293,1,1072.9674105001059,No support,710.2517486809675
864,288,1,1072.9674105001059,No support,710.2517486809675
876,292,1,1072.9674105001059,No support,710.2517486809675
852,284,1,1073.0242165043287,No support,710.3085546851903
861,287,1,1073.0416829798285,No support,710.3260211606901
858,286,1,1073.0416829798285,No support,710.3260211606901
855,285,1,1073.0416829798285,No support,710.3260211606901
508,169,2,1074.0014036291946,No support,711.2857418100562
514,171,2,1074.0014036291946,No support,711.2857418100562
511,170,2,1074.0014036291946,No support,711.2857418100562
493,164,2,1076.1804909500645,No support,713.4648291309261
505,168,2,1076.1804909500645,No support,713.4648291309261
496,165,2,1076.1804909500645,No support,713.4648291309261
502,167,2,1076.1804909500645,No support,713.4648291309261
499,166,2,1076.1804909500645,No support,713.4648291309261
849,283,1,1076.206711524478,No support,713.4910497053395
484,161,2,1077.9041983626187,No support,715.1885365434803
487,162,2,1077.9041983626187,No support,715.1885365434803
490,163,2,1077.9041983626187,No support,715.1885365434803
481,160,2,1077.9041983626187,No support,715.1885365434803
478,159,2,1077.9041983626187,No support,715.1885365434803
475,158,2,1077.9041983626187,No support,715.1885365434803
837,279,1,1079.177563601098,No support,716.4619017819596
840,280,1,1079.177563601098,No support,716.4619017819596
843,281,1,1079.177563601098,No support,716.4619017819596
846,282,1,1079.177563601098,No support,716.4619017819596
834,278,1,1079.177563601098,No support,716.4619017819596
831,277,1,1079.647712381309,No support,716.9320505621706
828,276,1,1079.647712381309,No support,716.9320505621706
825,275,1,1079.647712381309,No support,716.9320505621706
431,143,3,1080.006923505132,No support,717.2912616859935
822,274,1,1080.1842784267683,No support,717.4686166076299
813,271,1,1081.944825869328,No support,719.2291640501896
819,273,1,1081.9681740532617,No support,719.2525122341233
816,272,1,1081.9681740532617,No support,719.2525122341233
810,270,1,1081.9844720349472,No support,719.2688102158088
804,268,1,1081.9844720349472,No support,719.2688102158088
801,267,1,1081.9844720349472,No support,719.2688102158088
807,269,1,1081.9844720349472,No support,719.2688102158088
798,266,1,1082.1581756504386,No support,719.4425138313002
428,142,3,1082.6282015737052,No support,719.9125397545668
768,256,1,1087.3378406541906,No support,724.6221788350522
792,264,1,1087.3401501347682,No support,724.6244883156298
795,265,1,1087.3401501347682,No support,724.6244883156298
786,262,1,1087.3401501347682,No support,724.6244883156298
789,263,1,1087.3401501347682,No support,724.6244883156298
783,261,1,1087.3401501347682,No support,724.6244883156298
774,258,1,1087.3401501347682,No support,724.6244883156298
771,257,1,1087.3401501347682,No support,724.6244883156298
777,259,1,1087.3401501347682,No support,724.6244883156298
780,260,1,1087.3401501347682,No support,724.6244883156298
765,255,1,1087.8302867445577,No support,725.1146249254193
472,157,2,1087.8485409902135,No support,725.132879171075
753,251,1,1089.8209797077022,No support,727.1053178885638
756,252,1,1089.8209797077022,No support,727.1053178885638
759,253,1,1089.8209797077022,No support,727.1053178885638
762,254,1,1089.8209797077022,No support,727.1053178885638
466,155,2,1093.6866759885688,No support,730.9710141694304
469,156,2,1093.6866759885688,No support,730.9710141694304
463,154,2,1093.6866759885688,No support,730.9710141694304
457,152,2,1093.6866759885688,No support,730.9710141694304
454,151,2,1093.6866759885688,No support,730.9710141694304
451,150,2,1093.6866759885688,No support,730.9710141694304
448,149,2,1093.6866759885688,No support,730.9710141694304
460,153,2,1093.6866759885688,No support,730.9710141694304
445,148,2,1093.8147486511666,No support,731.0990868320282
442,147,2,1093.8147486511666,No support,731.0990868320282
424,141,2,1093.8147486511666,No support,731.0990868320282
439,146,2,1093.8147486511666,No support,731.0990868320282
427,142,2,1093.8147486511666,No support,731.0990868320282
430,143,2,1093.8147486511666,No support,731.0990868320282
436,145,2,1093.8147486511666,No support,731.0990868320282
433,144,2,1093.8147486511666,No support,731.0990868320282
747,249,1,1094.105514021807,No support,731.3898522026686
750,250,1,1094.105514021807,No support,731.3898522026686
741,247,1,1094.3678603874266,No support,731.6521985682882
744,248,1,1094.3678603874266,No support,731.6521985682882
738,246,1,1096.3691763310328,No support,733.6535145118944
735,245,1,1099.6999721834454,No support,736.984310364307
729,243,1,1101.400217800503,No support,738.6845559813646
732,244,1,1101.400217800503,No support,738.6845559813646
726,242,1,1105.2722309953338,No support,742.5565691761954
723,241,1,1105.2722309953338,No support,742.5565691761954
720,240,1,1105.2722309953338,No support,742.5565691761954
421,140,2,1107.2872323475417,No support,744.5715705284033
418,139,2,1108.062241982595,No support,745.3465801634566
717,239,1,1110.215145516899,No support,747.4994836977605
702,234,1,1110.6799582242759,No support,747.9642964051375
699,233,1,1110.6799582242759,No support,747.9642964051375
705,235,1,1110.6799582242759,No support,747.9642964051375
714,238,1,1110.6799582242759,No support,747.9642964051375
711,237,1,1110.6799582242759,No support,747.9642964051375
